doi,link,adminstration,Dye type,Dye,modification,ev type (cell source),Cell Type,Time,treated with,conditions/notes,Targeted/Surface Modified EV?,Animal strain,diease model,Dose (num_value),Dose Units,By wt,units,Liver,Lung,Spleen,Kidney,Heart,Tumor,Bone,Brain,Pancreas,Muscle,Stomach,Intestine,L GIT,S GIT,Urine,Stool,thymus,blood,mLN,iLN,lymph nodes,thyroid
10.1186/s13287-023-03472-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171132470&doi=10.1186%2fs13287-023-03472-8&partnerID=40&md5=dd532ee95b5f75d38818b85bcdb3e7a10,IV injection,lipid,DiR,,Human Umbilical Chord Mesenchymal Stem cell (hucMSC),Stem cells,24h,MSC-EV,Healthy Control,no,C57BL/6,Acute lung injury,15,ug,,Radient efficiency (p/s/cm2/sr) / (uW/cm2) x 10^6,42.857142857142854,111.3445376950074,57.14285714285714,0.7016806735368264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/s41467-021-23946-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107591179&doi=10.1038%2fs41467-021-23946-8&partnerID=40&md5=a15aaeec8787567b4a1c749f80c31bef,IV injection,lipid,DiD,exosomes incubated with TIF (tumor interstitial fluid),E0771,Cancer,24h,BC (breast cancer) exo ,,Yes control,C57BL/6,healthy,750000000000,particles ,,Average Radiant Efficiency   [p/s/cm^2/sr]/[uW/cm^2],83.49514563106798,51.45631067961162,16.50485436893202,31.06796116504848,13.592233009708684,NA,20.38834951456302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/s41467-021-23946-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107591179&doi=10.1038%2fs41467-021-23946-8&partnerID=40&md5=a15aaeec8787567b4a1c749f80c31bef,IV injection,lipid,DiD,exosomes incubated with CCL2,E0771,Cancer,24h,BC exo ,,Yes control,C57BL/6,healthy,750000000000,particles ,,Average Radiant Efficiency   [p/s/cm^2/sr]/[uW/cm^2],80,273.3333333333338,20,15.555555555555486,31.111111111111107,NA,35.555555555555664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1158/0008-5472.CAN-16-0868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116945773&doi=10.1142%2fS1793545821300056&partnerID=40&md5=d702d12fa749f4da1d3ef56763fdc9eb,IV injection,lipid,DiD,,E0771,Cancer,24h,,,No,C57BL/6 and BALB/C mice,N/A,20,micrograms / mouse,,Average Radiant Efficiency   [p/s/cm^2/sr]/[uW/cm^2],86.03603603603607,146.8468468468467,13.963963963963932,14.864864864864835,7.657657657657622,NA,3.60360360360359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1158/0008-5472.CAN-16-0868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116945773&doi=10.1142%2fS1793545821300056&partnerID=40&md5=d702d12fa749f4da1d3ef56763fdc9eb,IV injection,lipid,DiD,,4T1,Cancer,24h,,,No,C57BL/6 and BALB/C mice,N/A,20,micrograms / mouse,,Average Radiant Efficiency   [p/s/cm^2/sr]/[uW/cm^2],66.8965517241379,96.55172413793096,33.1034482758621,47.5862068965517,35.8620689655172,NA,33.1034482758621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1158/0008-5472.CAN-16-0868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116945773&doi=10.1142%2fS1793545821300056&partnerID=40&md5=d702d12fa749f4da1d3ef56763fdc9eb,IV injection,lipid,DiD,,67NR,Cancer,24h,,,No,C57BL/6 and BALB/C mice,N/A,20,micrograms / mouse,,Average Radiant Efficiency   [p/s/cm^2/sr]/[uW/cm^2],72.81249999999997,84.37500000000013,27.187500000000032,35.937500000000036,26.562500000000043,NA,29.062500000000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/s12951-020-0573-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078240294&doi=10.1186%2fs12951-020-0573-0&partnerID=40&md5=013bdff44ee47e2abc39fbdda800da66,IV injection,lipid,DiR,established a novel protocol for the incorporation of AuNPs into EV preparations that involved the uptake of folic acid-conjugated AuNPs by B16F10 cells to promote nanoparticle internalization and trafcking through the late endosome pathway for subsequent release from cells in EVs,B16F10,Cancer,24h,EV,,No,C57BL/6, Healthy,100,microliters,,Fluorescence intensity (pW/mm2)),79.25311203319505,5.3941908713692905,20.746887966804955,7.8838174273858685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/s12951-020-0573-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078240294&doi=10.1186%2fs12951-020-0573-0&partnerID=40&md5=013bdff44ee47e2abc39fbdda800da66,IV injection,lipid,DiR,established a novel protocol for the incorporation of AuNPs into EV preparations that involved the uptake of folic acid-conjugated AuNPs by B16F10 cells to promote nanoparticle internalization and trafcking through the late endosome pathway for subsequent release from cells in EVs,B16F10,Cancer,24h,EV-AuNP,,No,C57BL/6, Healthy,100,microliters,,Fluorescence intensity (pW/mm2)),76.98209718670078,3.8363171355498817,23.01790281329922,5.115089514066485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1080/20013078.2020.1713527,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077879789&doi=10.1080%2f20013078.2020.1713527&partnerID=40&md5=b5feeb9316c5e32c001bd25134ecd275,IV injection,lipid,DiR,N- and/or O-glycosylation removal of fluorescent-labelled BMD2a Evs enhanced cellular uptake to endothelial cells,BMD2a,Cancer,24h,control (Evs with no glycosylation enzyme treatment),,Yes control,C.B-17/Icr-scid/scid,N/A,5,µg protein/100 µl PBS per mouse,,Total radiant efficiency/(10^8 particles),97.75818404315692,6.148955028034507,2.241815956843078,NA,NA,NA,NA,0.050107383526751544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1021/acs.analchem.8b01506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053699300&doi=10.1021%2facs.analchem.8b01506&partnerID=40&md5=9cf8da86df09368cc724718617886049,IV injection,Fluoroscent,Cy7.5 labeled,(a) Metabolic incorporation of azides into exosome phospholipids. (b) Bioorthogonal labeling of the azide-modified exosomes with DBCO-containing dyes via copper-free click chemistry,MCF-7,Cancer,24h,,,no,"Female BALB/C nude mice, 6-8 weeks old",healthy,20,ug,,%ID/organ,100,0,0,235.55555555555495,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1021/acs.analchem.8b01506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053699300&doi=10.1021%2facs.analchem.8b01506&partnerID=40&md5=9cf8da86df09368cc724718617886049,IV injection,Fluoroscent,cy5.5 labeled,(a) Metabolic incorporation of azides into exosome phospholipids. (b) Bioorthogonal labeling of the azide-modified exosomes with DBCO-containing dyes via copper-free click chemistry,MDA-MB-231,Cancer,24h,,,no,"Female BALB/C nude mice, 6-8 weeks old",healthy,20,ug,,%ID/organ,100,14.563106796116495,0,47.5728155339807,NA,NA,NA,55.339805825242536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1021/acs.analchem.8b01506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053699300&doi=10.1021%2facs.analchem.8b01506&partnerID=40&md5=9cf8da86df09368cc724718617886049,IV injection,Fluoroscent,MB 594 ,(a) Metabolic incorporation of azides into exosome phospholipids. (b) Bioorthogonal labeling of the azide-modified exosomes with DBCO-containing dyes via copper-free click chemistry,HS578T,Cancer,24h,,,no,"Female BALB/C nude mice, 6-8 weeks old",healthy,20,ug,,%ID/organ,100,16.84210526315793,0,13.684210526315773,NA,NA,NA,49.473684210526265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/s41556-018-0040-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042193942&doi=10.1038%2fs41556-018-0040-4&partnerID=40&md5=0864cf4229a07e5bd5c39150355fe177,IV injection,Fluoroscent,NIR815,,B16F10,Cancer,24h,Exo-S (small exosome vesicles),,no,6-week-old female C57BL/6 mice,naïve,10,ug,,Fold over mock control,66.34615384615388,12.499999999999975,33.653846153846125,30.76923076923075,16.346153846153875,NA,85.57692307692312,11.538461538461501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.61538461538463,NA
10.1038/s41556-018-0040-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042193942&doi=10.1038%2fs41556-018-0040-4&partnerID=40&md5=0864cf4229a07e5bd5c39150355fe177,IV injection,Fluoroscent,NIR815,,B16F10,Cancer,24h,Exo-L (large exosome vesicles),,no,6-week-old female C57BL/6 mice,naïve,10,ug,,Fold over mock control,58.82352941176473,16.806722689075638,41.176470588235276,43.697478991596604,8.403361344537807,NA,166.3865546218483,10.084033613445339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.302521008403275,NA
10.18632/oncotarget.18831,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029810653&doi=10.18632%2foncotarget.18831&partnerID=40&md5=ef87601565c2e0a42f9b4dee0f62f4e4,IV injection,lipid,PKH26,,PANC02,Cancer,24h,,,no,"Female C57BL/6 mice,  4–6 weeks of age",Heathy,20,ug exosomes / mouse,,Mean IOD value of PKH67,27.573683475345717,43.93071658052803,72.4263165246543,NA,NA,NA,3.5619499930158014,1.9788611072309965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.18632/oncotarget.18831,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029810653&doi=10.18632%2foncotarget.18831&partnerID=40&md5=ef87601565c2e0a42f9b4dee0f62f4e4,IV injection,lipid,PKH26,,PANC02-H7,Cancer,24h,,,no,"Female C57BL/6 mice,  4–6 weeks of age",Heathy,20,ug exosomes / mouse,,Mean IOD value of PKH67,53.35201178475493,53.03139712891023,46.647988215245086,NA,NA,NA,14.485427919470844,0.49103145489731853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.nano.2015.01.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929380225&doi=10.1016%2fj.nano.2015.01.003&partnerID=40&md5=ae8b98af0116e5c08d7d2d82c090b85c,IV injection,lipid,DiR,test two protocols for EV purification: ultrafiltration with subsequent liquid chromatography (UF-LC) and differential ultracentrifugation (UC),B16F10,Cancer,24h,UC,,no,Balb/c,healthy,cannot find,cannot find,,% signal in organs,78.26086956521742,16.666666666666625,21.739130434782584,2.5362318840579774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.nano.2015.01.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929380225&doi=10.1016%2fj.nano.2015.01.003&partnerID=40&md5=ae8b98af0116e5c08d7d2d82c090b85c,IV injection,lipid,DiR,test two protocols for EV purification: ultrafiltration with subsequent liquid chromatography (UF-LC) and differential ultracentrifugation (UC),B16F10,Cancer,24h,UF-LC,,no,Balb/c,healthy,cannot find,cannot find,,% signal in organs,82.20064724919095,3.55987055016182,17.799352750809046,1.6181229773462777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
